1997;Final Fantasy Tactics;Tactical role-playing;Square;PlayStation;
1997;Final Fantasy VII;Role-playing;Square;PlayStation;
1997;GoldenEye 007;First-person shooter;Nintendo;Nintendo 64;
1997;Gran Turismo;Racing;Sony Computer Entertainment;PlayStation;
1997;Quake II;First-person shooter;Activision;PC;
1997;Star Fox 64;Shoot 'em up;Nintendo;Nintendo 64;
1997;Star Wars Jedi Knight: Dark Forces II;First-person shooter;LucasArts;PC;
1997;Total Annihilation;Real-time strategy;Cavedog Entertainment;PC;
1997;Ultima Online;MMORPG;Electronic Arts;PC;
1998;Baldur's Gate;Role-playing;Black Isle Studios;PC;
1998;Dance Dance Revolution;Rhythm;Konami;Arcade;
1998;Fallout 2;Role-playing;Interplay Entertainment;PC;
1998;Grim Fandango;Adventure;LucasArts;PC;
1998;Half-Life;First-person shooter;Sierra Studios;PC;
1998;The Legend of Zelda: Ocarina of Time;Action-adventure;Nintendo;Nintendo 64;
1998;Metal Gear Solid;Stealth;Konami;PlayStation;
1998;Panzer Dragoon Saga;Role-playing;Sega;Sega Saturn;
1998;Resident Evil 2;Survival horror;Capcom;PlayStation;
1998;Soulcalibur;Fighting;Namco;Arcade;
1998;StarCraft;Real-time strategy;Blizzard Entertainment;PC;
1998;Suikoden II;Role-playing;Konami;PlayStation;
1998;Thief: The Dark Project;Stealth;Eidos Interactive;PC;
1999;Age of Empires II;Real-time strategy;Microsoft;PC;
1999;EverQuest;MMORPG;Sony Online Entertainment;PC;
1999;Homeworld;Real-time strategy;Sierra Studios;PC;
1999;Planescape: Torment;Role-playing;Interplay Entertainment;PC;
1999;Pokémon Gold and Silver;Role-playing;Nintendo;Game Boy Color;
1999;Quake III: Arena;First-person shooter;Activision;PC;
1999;Shenmue;Adventure;Sega;Dreamcast;
1999;Silent Hill;Survival horror;Konami;PlayStation;
1999;System Shock 2;First-person shooter;Electronic Arts;PC;
1999;Unreal Tournament;First-person shooter;GT Interactive;PC;
2000;Baldur's Gate II: Shadows of Amn;Role-playing;Black Isle Studios;PC;
2000;Counter-Strike;First-person shooter;Valve;PC;
2000;Deus Ex;Action role-playing;Eidos Interactive;PC;
2000;Diablo II;Action role-playing;Blizzard Entertainment;PC, Macintosh;
2000;Jet Set Radio;Platform;Sega;Dreamcast;
2000;The Legend of Zelda: Majora's Mask;Action-adventure;Nintendo;Nintendo 64;
2000;The Sims;Life simulation;Electronic Arts;PC;
2000;Thief II: The Metal Age;Stealth;Eidos Interactive;PC;
2000;Tony Hawk's Pro Skater 2;Sports;Activision;PlayStation;
2001;Advance Wars;Turn-based tactics;Nintendo;Game Boy Advance;
2001;Animal Crossing;Life simulation;Nintendo;GameCube;
2001;Devil May Cry;Action-adventure;Capcom;PlayStation 2;
2001;Final Fantasy X;Role-playing;Square;PlayStation 2;
2001;Gran Turismo 3: A-Spec;Racing;Sony Computer Entertainment;PlayStation 2;
2001;Grand Theft Auto III;Action-adventure;Rockstar Games;PlayStation 2;
2001;Halo: Combat Evolved;First-person shooter;Microsoft Game Studios;Xbox;
2001;Ico;Action-adventure;Sony Computer Entertainment;PlayStation 2;
2001;Ikaruga;Shoot 'em up;Treasure;Arcade;
2001;Max Payne;Third-person shooter;Gathering of Developers;PC;
2001;Metal Gear Solid 2: Sons of Liberty;Stealth;Konami;PlayStation 2;
2001;Phoenix Wright: Ace Attorney;Adventure;Capcom;Game Boy Advance;
2001;Rez;Shoot 'em up;Sega;Dreamcast, PlayStation 2;
2001;Silent Hill 2;Survival horror;Konami;PlayStation 2;
2001;Super Smash Bros. Melee;Fighting;Nintendo;GameCube;
2001;Tony Hawk's Pro Skater 3;Sports;Activision;PlayStation, PlayStation 2;
2002;Battlefield 1942;First-person shooter;Electronic Arts;PC;
2002;The Elder Scrolls III: Morrowind;Action role-playing;Bethesda Softworks;PC;
2002;Eternal Darkness: Sanity's Requiem;Survival horror;Nintendo;GameCube;
2002;Grand Theft Auto: Vice City;Action-adventure;Rockstar Games;PlayStation 2;
2002;Kingdom Hearts;Action role-playing;Square;PlayStation 2;
2002;The Legend of Zelda: The Wind Waker;Action-adventure;Nintendo;GameCube;
2002;Metroid Prime;Action-adventure;Nintendo;GameCube;
2002;Soulcalibur II;Fighting;Namco;Arcade;
2002;Tom Clancy's Splinter Cell;Stealth;Ubisoft;Xbox;
2002;Warcraft III: Reign of Chaos;Real-time strategy;Blizzard Entertainment;PC, Macintosh;
2003;Beyond Good & Evil;Action-adventure;Ubisoft;PlayStation 2;
2003;F-Zero GX;Racing;Nintendo;GameCube;
2003;Max Payne 2: The Fall of Max Payne;Third-person shooter;Rockstar Games;PC;
2003;Prince of Persia: The Sands of Time;Action-adventure;Ubisoft;PlayStation 2;
2003;Star Wars: Knights of the Old Republic;Role-playing;LucasArts;Xbox;
2003;WarioWare, Inc.: Mega Microgames!;Action;Nintendo;Game Boy Advance;
2004;Burnout 3: Takedown;Racing;Electronic Arts;PlayStation 2, Xbox;
2004;The Chronicles of Riddick: Escape from Butcher Bay;Stealth;Vivendi Universal Games;Xbox;
2004;Dragon Quest VIII;Role-playing;Square Enix;PlayStation 2;
2004;Gran Turismo 4;Racing;Sony Computer Entertainment;PlayStation 2;
2004;Grand Theft Auto: San Andreas;Action-adventure;Rockstar Games;PlayStation 2;
2004;Half-Life 2;First-person shooter;Valve;PC;
2004;Halo 2;First-person shooter;Microsoft Game Studios;Xbox;
2004;Katamari Damacy;Action;Namco;PlayStation 2;
2004;Metal Gear Solid 3: Snake Eater;Stealth;Konami;PlayStation 2;
2004;Rome: Total War;Strategy;Activision;PC;
